QtlID	TraitOriginalName	TraitAnnotation	TraitAnnotationID	Property	ProAnnotation	ProAnnotationID	ActualProValue	pmcId	tableId
PMC4321030_TABLE 4_0_35	HAB	HAB		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_36	H	H		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_37	H	H		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_38	W	W		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g22260	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_39	W	W		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1-C2_At1g21690	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_40	SH	SH		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_41	SH	SH		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_42	SZ	SZ		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_43	SZ	SZ		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_44	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_45	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_46	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_47	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_48	Fruit height	fruit length	http://purl.obolibrary.org/obo/TO_0002626	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_49	Fruit height	fruit length	http://purl.obolibrary.org/obo/TO_0002626	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_50	Fruit width	fruit width	http://purl.obolibrary.org/obo/TO_0002627	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_51	Fruit width	fruit width	http://purl.obolibrary.org/obo/TO_0002627	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_52	Fruit shape	fruit shape	http://purl.obolibrary.org/obo/TO_0002628	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_53	Fruit shape	fruit shape	http://purl.obolibrary.org/obo/TO_0002628	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g14260-TG400	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_54	Fruit size	fruit size	http://purl.obolibrary.org/obo/TO_0002625	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_55	Fruit size	fruit size	http://purl.obolibrary.org/obo/TO_0002625	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_56	Fruit weight	fruit weight	http://purl.obolibrary.org/obo/TO_0002746	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_57	Fruit weight	fruit weight	http://purl.obolibrary.org/obo/TO_0002746	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At1g44790-TG400	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_58	Seed weight	seed weight	http://purl.obolibrary.org/obo/TO_0000181	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_59	Seed weight	seed weight	http://purl.obolibrary.org/obo/TO_0000181	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_60	oBrix	oBrix		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_61	oBrix	oBrix		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_62	Canopy density	plant canopy	http://purl.obolibrary.org/obo/SP_0000236	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_63	Canopy density	plant canopy	http://purl.obolibrary.org/obo/SP_0000236	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_64	Plant habit	plant habit	http://purl.obolibrary.org/obo/SP_0000003	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_65	Plant habit	plant habit	http://purl.obolibrary.org/obo/SP_0000003	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_66	Plant height	plant height	http://purl.obolibrary.org/obo/TO_0000207	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_67	Plant height	plant height	http://purl.obolibrary.org/obo/TO_0000207	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_68	Plant width	plant width	http://purl.obolibrary.org/obo/TO_0006062	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g22260	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_69	Plant width	plant width	http://purl.obolibrary.org/obo/TO_0006062	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1-C2_At1g21690	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_70	Plant shape	Plant shape		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_71	Plant shape	Plant shape		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_72	Plant size	plant size	http://purl.obolibrary.org/obo/SP_0000002	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_73	Plant size	plant size	http://purl.obolibrary.org/obo/SP_0000002	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_1_1	Maturity	Maturity		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_2	Maturity	Maturity		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_3	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g10050	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_4	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_5	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_6	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_7	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_8	Plant architecture	Plant architecture		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_9	Plant architecture	Plant architecture		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_10	DAP1st	DAP1st		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_11	DAP1st	DAP1st		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_12	DAP50	DAP50		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_13	DAP50	DAP50		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_14	YLD	YLD		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g10050	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_15	YLD	YLD		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_16	FH	FH		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_17	FH	FH		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_18	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_19	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_20	FS	FS		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_21	FS	FS		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g14260-TG400	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_22	FP	FP		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_23	FP	FP		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_24	30Wt	30Wt		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_25	30Wt	30Wt		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At1g44790-TG400	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_26	SW	SW		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_27	SW	SW		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_28	Brix	Brix		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_29	Brix	Brix		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_30	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g16710	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_31	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g22570-U340899	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_32	CD	CD		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_33	CD	CD		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_34	HAB	HAB		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_35	HAB	HAB		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_36	H	H		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_37	H	H		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_38	W	W		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g22260	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_39	W	W		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1-C2_At1g21690	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_40	SH	SH		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_41	SH	SH		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_42	SZ	SZ		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_43	SZ	SZ		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_44	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_45	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_46	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_47	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_48	Fruit height	fruit length	http://purl.obolibrary.org/obo/TO_0002626	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_49	Fruit height	fruit length	http://purl.obolibrary.org/obo/TO_0002626	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_50	Fruit width	fruit width	http://purl.obolibrary.org/obo/TO_0002627	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_51	Fruit width	fruit width	http://purl.obolibrary.org/obo/TO_0002627	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_52	Fruit shape	fruit shape	http://purl.obolibrary.org/obo/TO_0002628	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_53	Fruit shape	fruit shape	http://purl.obolibrary.org/obo/TO_0002628	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g14260-TG400	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_54	Fruit size	fruit size	http://purl.obolibrary.org/obo/TO_0002625	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_55	Fruit size	fruit size	http://purl.obolibrary.org/obo/TO_0002625	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_56	Fruit weight	fruit weight	http://purl.obolibrary.org/obo/TO_0002746	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_57	Fruit weight	fruit weight	http://purl.obolibrary.org/obo/TO_0002746	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At1g44790-TG400	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_58	Seed weight	seed weight	http://purl.obolibrary.org/obo/TO_0000181	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_59	Seed weight	seed weight	http://purl.obolibrary.org/obo/TO_0000181	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_60	oBrix	oBrix		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_61	oBrix	oBrix		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_62	Canopy density	plant canopy	http://purl.obolibrary.org/obo/SP_0000236	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_63	Canopy density	plant canopy	http://purl.obolibrary.org/obo/SP_0000236	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_64	Plant habit	plant habit	http://purl.obolibrary.org/obo/SP_0000003	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_65	Plant habit	plant habit	http://purl.obolibrary.org/obo/SP_0000003	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_66	Plant height	plant height	http://purl.obolibrary.org/obo/TO_0000207	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_67	Plant height	plant height	http://purl.obolibrary.org/obo/TO_0000207	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_68	Plant width	plant width	http://purl.obolibrary.org/obo/TO_0006062	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g22260	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_69	Plant width	plant width	http://purl.obolibrary.org/obo/TO_0006062	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1-C2_At1g21690	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_70	Plant shape	Plant shape		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_71	Plant shape	Plant shape		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_72	Plant size	plant size	http://purl.obolibrary.org/obo/SP_0000002	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_73	Plant size	plant size	http://purl.obolibrary.org/obo/SP_0000002	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_1
