Id,Base_Name
CO_330:0000000,Plant habit
CO_330:0000003,Degree of Flowering
CO_330:0000006,Corolla Shape
CO_330:0000009,Number of Inflorescences per plant
CO_330:0000012,Number of flowers per main inflorescence
CO_330:0000015,Anther pigmentation
CO_330:0000018,Pistil pigmentation
CO_330:0000021,Fruit shape
CO_330:0000024,Fruit color
CO_330:0000027,Pedicel color
CO_330:0000030,Calyx pigmentation
CO_330:0000033,Seed production per berry
CO_330:0000036,Stigma Shape
CO_330:0000039,Type of leaf dissection
CO_330:0000042,Number of primary lateral leaflets
CO_330:0000045,Color of the adaxial surface of leaves
CO_330:0000048,Color of the abaxial surface of leaves
CO_330:0000051,Trichome density on leaf adaxial surface
CO_330:0000054,Trichome density on leaf abaxial surface
CO_330:0000057,Apical Leaflet Size
CO_330:0000060,Apical Leaflet Shape
CO_330:0000063,Lateral leaflet shape
CO_330:0000066,Base shape of the terminal leaflets
CO_330:0000069,Apex shape of the terminal leaflets
CO_330:0000072,Main Stem pigmentation
CO_330:0000075,Stem wing shape
CO_330:0000078,Predominant tuber skin color
CO_330:0000081,Tuber skin main color intensity
CO_330:0000084,Tuber skin secondary color
CO_330:0000087,Distribution of secondary tuber skin color
CO_330:0000090,Predominant Tuber flesh color
CO_330:0000093,Tuber flesh secondary color
CO_330:0000096,Distribution of secondary flesh color
CO_330:0000099,General tuber shape
CO_330:0000102,Unusual Tuber shape
CO_330:0000105,Tuber shape depth of eyes
CO_330:0000108,Total number of tuber/plant
CO_330:0000111,Predominant sprout color
CO_330:0000114,Secondary sprout color
CO_330:0000117,Distribution of secondary sprout color
CO_330:0000120,Ploidy
CO_330:0000123,Resistance to Late Blight
CO_330:0000126,Potato virus X
CO_330:0000129,Potato virus Y (PVY)
CO_330:0000132,PotatoÂ  Leaf Roll Virus
CO_330:0000135,Bacterial Wilt (BW)
CO_330:0000138,Root Knot Nematode
CO_330:0000141,Leaf Miner Fly
CO_330:0000144,Tuber yield
CO_330:0000147,Growing period in lowland
CO_330:0000150,Growing period in highland
CO_330:0000153,Dormancy Period   (DLS) Lowland
CO_330:0000156,Dormancy period  (DLS) Highland
CO_330:0000159,Sprouting pattern
CO_330:0000162,Reaction to heat
CO_330:0000165,Reaction to Salinity
CO_330:0000168,Pollen viability (%)
CO_330:0000171,Flavor
CO_330:0000174,Texture of tuber after cooking
CO_330:0000177,Oil Absorption Rate
CO_330:0000180,Cooking Quality
CO_330:0000183,After cooking darkening
CO_330:0000186,Flesh Color after cooking
CO_330:0000189,Chipping color
CO_330:0000192,Percentage Dry matter
CO_330:0000195,Cooking Time (minutes)
CO_330:0000198,Vitamin C (mg/100g
CO_330:0000201,Content of iron in  dry weight basis
CO_330:0000204,Content of zinc in  dry weight basis
CO_330:0000207,Anthocyanins Total
CO_330:0000210,Antioxidant Ability Hydrophilic
CO_330:0000213,Antioxidant Ability Lipophilic
CO_330:0000216,Finger printing markers
